date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:53	77360/77360	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2008:15:02%20GMT	https://www.dentway.com.tr/eng3/	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/eng3/index.html	(from https://www.dentway.com.tr/)
12:15:53	85278/85278	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2008:15:04%20GMT	https://www.dentway.com.tr/bg/	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/bg/index.html	(from https://www.dentway.com.tr/)
12:15:54	46199/46199	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2008:15:03%20GMT	https://www.dentway.com.tr/tedaviler/estetik-dis/	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/tedaviler/estetik-dis/index.html	(from https://www.dentway.com.tr/)
12:15:54	2193/2193	---MCZ	200	added ('OK')	image/png	date:Wed,%2009%20Oct%202019%2011:26:54%20GMT	https://www.dentway.com.tr/eng3/wp-content/uploads/2019/10/dis-online.png	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/eng3/wp-content/uploads/2019/10/dis-online.png	(from https://www.dentway.com.tr/)
12:15:54	43627/43627	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2008:15:06%20GMT	https://www.dentway.com.tr/tedaviler/estetik-dis/yaprak-porselen/	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/tedaviler/estetik-dis/yaprak-porselen/index.html	(from https://www.dentway.com.tr/)
12:15:54	3831/3831	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2030%20Jul%202019%2009:06:17%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/js/pages/frontpage.js?v=1.0.1	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/js/pages/frontpagef700.js	(from https://www.dentway.com.tr/)
12:15:56	62252/62252	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202019%2009:13:04%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/images/dental-implant-slider.jpg	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/images/dental-implant-slider.jpg	(from https://www.dentway.com.tr/)
12:15:56	44248/44248	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2008:15:07%20GMT	https://www.dentway.com.tr/tedaviler/estetik-dis/zirkonyum-dis/	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/tedaviler/estetik-dis/zirkonyum-dis/index.html	(from https://www.dentway.com.tr/)
12:15:56	264215/264215	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2005%20Dec%202019%2014:52:12%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/images/slider-odullu111.jpg	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/images/slider-odullu111.jpg	(from https://www.dentway.com.tr/)
12:15:56	409894/409894	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2014%20Jun%202019%2014:07:34%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/images/banner-main3.jpg	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/images/banner-main3.jpg	(from https://www.dentway.com.tr/)
12:15:56	45305/45305	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2008:15:08%20GMT	https://www.dentway.com.tr/tedaviler/estetik-dis/protez-dis-uygulamalari/	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/tedaviler/estetik-dis/protez-dis-uygulamalari/index.html	(from https://www.dentway.com.tr/)
12:15:57	131561/131561	---MCZ	200	added ('OK')	image/jpeg	date:Thu,%2011%20Jul%202019%2008:54:19%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/images/banner-main5.jpg	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/images/banner-main5.jpg	(from https://www.dentway.com.tr/)
12:15:57	43655/43655	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2008:15:09%20GMT	https://www.dentway.com.tr/tedaviler/estetik-dis/dis-beyazlatma/	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/tedaviler/estetik-dis/dis-beyazlatma/index.html	(from https://www.dentway.com.tr/)
12:15:57	4660/4660	---MCZ	200	added ('OK')	text/html	date:Thu,%2024%20Oct%202019%2009:57:47%20GMT	https://www.dentway.com.tr/wp-content/uploads/doctor-cv/alper-cildir.html?no_cache=26	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/uploads/doctor-cv/alper-cildirdf38.html	(from https://www.dentway.com.tr/)
12:15:57	145685/145685	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2018%20Oct%202019%2008:59:19%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/images/invisalign-slider.jpg	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/images/invisalign-slider.jpg	(from https://www.dentway.com.tr/)
12:15:57	42661/42661	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2008:15:09%20GMT	https://www.dentway.com.tr/tedaviler/estetik-dis/porselen-dis-dolgu-uygulamalari/	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/tedaviler/estetik-dis/porselen-dis-dolgu-uygulamalari/index.html	(from https://www.dentway.com.tr/)
12:15:58	56712/56712	---MCZ	200	added ('OK')	image/jpeg	date:Fri,%2022%20Nov%202019%2011:43:21%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/images/ekibimiz/alper-cildir-dentway-fotograf1.jpg	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/images/ekibimiz/alper-cildir-dentway-fotograf1.jpg	(from https://www.dentway.com.tr/)
12:15:58	42112/42112	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2008:15:10%20GMT	https://www.dentway.com.tr/tedaviler/estetik-dis/bonding-dolgu-uygulamasi/	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/tedaviler/estetik-dis/bonding-dolgu-uygulamasi/index.html	(from https://www.dentway.com.tr/)
12:15:58	41537/41537	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jul%202019%2008:43:48%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/images/ekibimiz/alper-cildir.jpg	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/images/ekibimiz/alper-cildir.jpg	(from https://www.dentway.com.tr/)
12:15:58	34128/34128	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202019%2013:39:36%20GMT	https://www.dentway.com.tr/wp-content/uploads/doctor-cv/sule-cildir.html?no_cache=26	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/uploads/doctor-cv/sule-cildirdf38.html	(from https://www.dentway.com.tr/)
12:15:58	52380/52380	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jul%202019%2008:43:50%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/images/ekibimiz/sule-cildir.jpg	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/images/ekibimiz/sule-cildir.jpg	(from https://www.dentway.com.tr/)
12:15:58	49415/49415	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2008:15:10%20GMT	https://www.dentway.com.tr/tedaviler/implant/	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/tedaviler/implant/index.html	(from https://www.dentway.com.tr/)
12:15:59	53453/53453	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jul%202019%2008:43:50%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/images/ekibimiz/sule-cildir-doktor.jpg	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/images/ekibimiz/sule-cildir-doktor.jpg	(from https://www.dentway.com.tr/)
12:15:59	3069/3069	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202019%2013:39:36%20GMT	https://www.dentway.com.tr/wp-content/uploads/doctor-cv/arca-baydar.html?no_cache=26	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/uploads/doctor-cv/arca-baydardf38.html	(from https://www.dentway.com.tr/)
12:15:59	48203/48203	---MCZ	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jul%202019%2008:43:48%20GMT	https://www.dentway.com.tr/wp-content/themes/dentway/images/ekibimiz/arca-baydar.jpg	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/themes/dentway/images/ekibimiz/arca-baydar.jpg	(from https://www.dentway.com.tr/)
12:15:59	40585/40585	---MCZ	200	added ('OK')	text/html	date:Thu,%2006%20Feb%202020%2008:15:11%20GMT	https://www.dentway.com.tr/tedaviler/implant/zirkonyum-implant/	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/tedaviler/implant/zirkonyum-implant/index.html	(from https://www.dentway.com.tr/)
12:15:59	4111/4111	---MCZ	200	added ('OK')	text/html	date:Fri,%2021%20Jun%202019%2013:39:36%20GMT	https://www.dentway.com.tr/wp-content/uploads/doctor-cv/berna-evrenol.html?no_cache=26	C:/Users/shahin.ibrahimli/Desktop/DRFuad/DRFuad/www.dentway.com.tr/wp-content/uploads/doctor-cv/berna-evrenoldf38.html	(from https://www.dentway.com.tr/)
